	measure	Group1	Group2	pvalue	corrected
359	g__Anaeroplasma	5_wt	7_cre	NA	NA
360	g__Anaeroplasma	5_wt	7_wt	NA	NA
361	g__Anaeroplasma	5_wt	9_cre	0.5	1
362	g__Anaeroplasma	5_wt	9_wt	NA	NA
363	g__Anaeroplasma	7_cre	7_wt	NA	NA
364	g__Anaeroplasma	7_cre	9_cre	NA	NA
365	g__Anaeroplasma	7_cre	9_wt	NA	NA
366	g__Anaeroplasma	7_wt	9_cre	NA	NA
367	g__Anaeroplasma	7_wt	9_wt	NA	NA
368	g__Anaeroplasma	9_cre	9_wt	NA	NA
369	g__Lachnospiracea_incertae_sedis	 -	- 	0.0084	0.1827
370	g__Lachnospiracea_incertae_sedis	10_cre	10_wt	NA	NA
371	g__Lachnospiracea_incertae_sedis	10_cre	12_cre	NA	NA
372	g__Lachnospiracea_incertae_sedis	10_cre	12_wt	NA	NA
373	g__Lachnospiracea_incertae_sedis	10_cre	5_cre	1	1
374	g__Lachnospiracea_incertae_sedis	10_cre	5_wt	NA	NA
375	g__Lachnospiracea_incertae_sedis	10_cre	7_cre	1	1
376	g__Lachnospiracea_incertae_sedis	10_cre	7_wt	1	1
377	g__Lachnospiracea_incertae_sedis	10_cre	9_cre	1	1
378	g__Lachnospiracea_incertae_sedis	10_cre	9_wt	NA	NA
379	g__Lachnospiracea_incertae_sedis	10_wt	12_cre	1	1
380	g__Lachnospiracea_incertae_sedis	10_wt	12_wt	1	1
381	g__Lachnospiracea_incertae_sedis	10_wt	5_cre	NA	NA
382	g__Lachnospiracea_incertae_sedis	10_wt	5_wt	0.5	1
383	g__Lachnospiracea_incertae_sedis	10_wt	7_cre	NA	NA
384	g__Lachnospiracea_incertae_sedis	10_wt	7_wt	1	1
385	g__Lachnospiracea_incertae_sedis	10_wt	9_cre	1	1
386	g__Lachnospiracea_incertae_sedis	10_wt	9_wt	1	1
387	g__Lachnospiracea_incertae_sedis	12_cre	12_wt	1	1
388	g__Lachnospiracea_incertae_sedis	12_cre	5_cre	NA	NA
389	g__Lachnospiracea_incertae_sedis	12_cre	5_wt	1	1
390	g__Lachnospiracea_incertae_sedis	12_cre	7_cre	NA	NA
391	g__Lachnospiracea_incertae_sedis	12_cre	7_wt	NA	NA
392	g__Lachnospiracea_incertae_sedis	12_cre	9_cre	1	1
393	g__Lachnospiracea_incertae_sedis	12_cre	9_wt	1	1
394	g__Lachnospiracea_incertae_sedis	12_wt	5_cre	1	1
395	g__Lachnospiracea_incertae_sedis	12_wt	5_wt	0.5	1
396	g__Lachnospiracea_incertae_sedis	12_wt	7_cre	1	1
397	g__Lachnospiracea_incertae_sedis	12_wt	7_wt	1	1
398	g__Lachnospiracea_incertae_sedis	12_wt	9_cre	1	1
399	g__Lachnospiracea_incertae_sedis	12_wt	9_wt	1	1
400	g__Lachnospiracea_incertae_sedis	5_cre	5_wt	1	1
401	g__Lachnospiracea_incertae_sedis	5_cre	7_cre	1	1
402	g__Lachnospiracea_incertae_sedis	5_cre	7_wt	0.25	1
403	g__Lachnospiracea_incertae_sedis	5_cre	9_cre	1	1
404	g__Lachnospiracea_incertae_sedis	5_cre	9_wt	0.75	1
405	g__Lachnospiracea_incertae_sedis	5_wt	7_cre	1	1
406	g__Lachnospiracea_incertae_sedis	5_wt	7_wt	0.25	1
407	g__Lachnospiracea_incertae_sedis	5_wt	9_cre	1	1
408	g__Lachnospiracea_incertae_sedis	5_wt	9_wt	0.3125	1
409	g__Lachnospiracea_incertae_sedis	7_cre	7_wt	0.5	1
410	g__Lachnospiracea_incertae_sedis	7_cre	9_cre	1	1
411	g__Lachnospiracea_incertae_sedis	7_cre	9_wt	1	1
412	g__Lachnospiracea_incertae_sedis	7_wt	9_cre	1	1
413	g__Lachnospiracea_incertae_sedis	7_wt	9_wt	1	1
414	g__Lachnospiracea_incertae_sedis	9_cre	9_wt	1	1
415	g__Ruminococcus	 -	- 	0.0043	0.1247
416	g__Ruminococcus	10_cre	10_wt	1	1
417	g__Ruminococcus	10_cre	12_cre	1	1
418	g__Ruminococcus	10_cre	12_wt	0.5	1
419	g__Ruminococcus	10_cre	5_cre	0.875	1
420	g__Ruminococcus	10_cre	5_wt	0.625	1
421	g__Ruminococcus	10_cre	7_cre	NA	NA
422	g__Ruminococcus	10_cre	7_wt	0.75	1
423	g__Ruminococcus	10_cre	9_cre	1	1
424	g__Ruminococcus	10_cre	9_wt	1	1
425	g__Ruminococcus	10_wt	12_cre	1	1
426	g__Ruminococcus	10_wt	12_wt	0.75	1
427	g__Ruminococcus	10_wt	5_cre	0.75	1
428	g__Ruminococcus	10_wt	5_wt	0.25	1
429	g__Ruminococcus	10_wt	7_cre	1	1
430	g__Ruminococcus	10_wt	7_wt	1	1
431	g__Ruminococcus	10_wt	9_cre	0.5	1
432	g__Ruminococcus	10_wt	9_wt	0.25	1
433	g__Ruminococcus	12_cre	12_wt	1	1
434	g__Ruminococcus	12_cre	5_cre	0.75	1
435	g__Ruminococcus	12_cre	5_wt	1	1
436	g__Ruminococcus	12_cre	7_cre	1	1
437	g__Ruminococcus	12_cre	7_wt	0.5	1
438	g__Ruminococcus	12_cre	9_cre	1	1
439	g__Ruminococcus	12_cre	9_wt	1	1
440	g__Ruminococcus	12_wt	5_cre	0.8438	1
441	g__Ruminococcus	12_wt	5_wt	0.6875	1
442	g__Ruminococcus	12_wt	7_cre	0.5	1
443	g__Ruminococcus	12_wt	7_wt	0.8125	1
444	g__Ruminococcus	12_wt	9_cre	0.875	1
445	g__Ruminococcus	12_wt	9_wt	0.4375	1
446	g__Ruminococcus	5_cre	5_wt	0.375	1
447	g__Ruminococcus	5_cre	7_cre	1	1
448	g__Ruminococcus	5_cre	7_wt	1	1
449	g__Ruminococcus	5_cre	9_cre	1	1
450	g__Ruminococcus	5_cre	9_wt	1	1
451	g__Ruminococcus	5_wt	7_cre	0.5	1
452	g__Ruminococcus	5_wt	7_wt	1	1
453	g__Ruminococcus	5_wt	9_cre	0.8125	1
454	g__Ruminococcus	5_wt	9_wt	0.625	1
455	g__Ruminococcus	7_cre	7_wt	1	1
456	g__Ruminococcus	7_cre	9_cre	NA	NA
457	g__Ruminococcus	7_cre	9_wt	0.5	1
458	g__Ruminococcus	7_wt	9_cre	0.875	1
459	g__Ruminococcus	7_wt	9_wt	0.875	1
460	g__Ruminococcus	9_cre	9_wt	0.75	1
