	measure	Group1	Group2	pvalue	corrected
1264	o__Erysipelotrichales	10_cre	5_cre	0.0996	0.3201
1265	o__Erysipelotrichales	10_cre	5_wt	0.0996	0.3201
1266	o__Erysipelotrichales	10_cre	7_cre	0.0996	0.3201
1267	o__Erysipelotrichales	10_cre	7_wt	0.0996	0.3201
1268	o__Erysipelotrichales	10_cre	9_cre	1	1
1269	o__Erysipelotrichales	10_cre	9_wt	0.0996	0.3201
1270	o__Erysipelotrichales	10_wt	12_cre	1	1
1271	o__Erysipelotrichales	10_wt	12_wt	1	1
1272	o__Erysipelotrichales	10_wt	5_cre	1	1
1273	o__Erysipelotrichales	10_wt	5_wt	1	1
1274	o__Erysipelotrichales	10_wt	7_cre	1	1
1275	o__Erysipelotrichales	10_wt	7_wt	1	1
1276	o__Erysipelotrichales	10_wt	9_cre	0.1686	0.5058
1277	o__Erysipelotrichales	10_wt	9_wt	1	1
1278	o__Erysipelotrichales	12_cre	12_wt	1	1
1279	o__Erysipelotrichales	12_cre	5_cre	1	1
1280	o__Erysipelotrichales	12_cre	5_wt	1	1
1281	o__Erysipelotrichales	12_cre	7_cre	1	1
1282	o__Erysipelotrichales	12_cre	7_wt	1	1
1283	o__Erysipelotrichales	12_cre	9_cre	0.0421	0.2706
1284	o__Erysipelotrichales	12_cre	9_wt	1	1
1285	o__Erysipelotrichales	12_wt	5_cre	1	1
1286	o__Erysipelotrichales	12_wt	5_wt	1	1
1287	o__Erysipelotrichales	12_wt	7_cre	1	1
1288	o__Erysipelotrichales	12_wt	7_wt	1	1
1289	o__Erysipelotrichales	12_wt	9_cre	0.0421	0.2706
1290	o__Erysipelotrichales	12_wt	9_wt	1	1
1291	o__Erysipelotrichales	5_cre	5_wt	1	1
1292	o__Erysipelotrichales	5_cre	7_cre	1	1
1293	o__Erysipelotrichales	5_cre	7_wt	1	1
1294	o__Erysipelotrichales	5_cre	9_cre	0.0421	0.2706
1295	o__Erysipelotrichales	5_cre	9_wt	1	1
1296	o__Erysipelotrichales	5_wt	7_cre	1	1
1297	o__Erysipelotrichales	5_wt	7_wt	1	1
1298	o__Erysipelotrichales	5_wt	9_cre	0.0421	0.2706
1299	o__Erysipelotrichales	5_wt	9_wt	1	1
1300	o__Erysipelotrichales	7_cre	7_wt	1	1
1301	o__Erysipelotrichales	7_cre	9_cre	0.0421	0.2706
1302	o__Erysipelotrichales	7_cre	9_wt	1	1
1303	o__Erysipelotrichales	7_wt	9_cre	0.0421	0.2706
1304	o__Erysipelotrichales	7_wt	9_wt	1	1
1305	o__Erysipelotrichales	9_cre	9_wt	0.0421	0.2706
1306	o__Lactobacillales	10_cre	10_wt	0.1281	1
1307	o__Lactobacillales	10_cre	12_cre	0.4621	1
1308	o__Lactobacillales	10_cre	12_wt	0.2635	1
1309	o__Lactobacillales	10_cre	5_cre	1	1
1310	o__Lactobacillales	10_cre	5_wt	1	1
1311	o__Lactobacillales	10_cre	7_cre	1	1
1312	o__Lactobacillales	10_cre	7_wt	0.4621	1
1313	o__Lactobacillales	10_cre	9_cre	1	1
1314	o__Lactobacillales	10_cre	9_wt	0.7152	1
1315	o__Lactobacillales	10_wt	12_cre	0.6817	1
1316	o__Lactobacillales	10_wt	12_wt	1	1
1317	o__Lactobacillales	10_wt	5_cre	0.1281	1
1318	o__Lactobacillales	10_wt	5_wt	0.2451	1
1319	o__Lactobacillales	10_wt	7_cre	0.1281	1
1320	o__Lactobacillales	10_wt	7_wt	0.6817	1
1321	o__Lactobacillales	10_wt	9_cre	0.1281	1
1322	o__Lactobacillales	10_wt	9_wt	0.427	1
1323	o__Lactobacillales	12_cre	12_wt	1	1
1324	o__Lactobacillales	12_cre	5_cre	0.4621	1
1325	o__Lactobacillales	12_cre	5_wt	0.7104	1
1326	o__Lactobacillales	12_cre	7_cre	0.4621	1
1327	o__Lactobacillales	12_cre	7_wt	1	1
1328	o__Lactobacillales	12_cre	9_cre	0.4621	1
1329	o__Lactobacillales	12_cre	9_wt	1	1
1330	o__Lactobacillales	12_wt	5_cre	0.2635	1
1331	o__Lactobacillales	12_wt	5_wt	0.4497	1
1332	o__Lactobacillales	12_wt	7_cre	0.2635	1
1333	o__Lactobacillales	12_wt	7_wt	1	1
1334	o__Lactobacillales	12_wt	9_cre	0.2635	1
