	measure	Group1	Group2	pvalue	corrected
369	OTU_538	 -	- 	0.0048	0.0277
370	OTU_538	10_cre	10_wt	NA	NA
371	OTU_538	10_cre	12_cre	NA	NA
372	OTU_538	10_cre	12_wt	1	1
373	OTU_538	10_cre	5_cre	1	1
374	OTU_538	10_cre	5_wt	1	1
375	OTU_538	10_cre	7_cre	NA	NA
376	OTU_538	10_cre	7_wt	1	1
377	OTU_538	10_cre	9_cre	NA	NA
378	OTU_538	10_cre	9_wt	1	1
379	OTU_538	10_wt	12_cre	1	1
380	OTU_538	10_wt	12_wt	0.75	1
381	OTU_538	10_wt	5_cre	0.5	1
382	OTU_538	10_wt	5_wt	0.25	1
383	OTU_538	10_wt	7_cre	NA	NA
384	OTU_538	10_wt	7_wt	0.5	1
385	OTU_538	10_wt	9_cre	NA	NA
386	OTU_538	10_wt	9_wt	0.5	1
387	OTU_538	12_cre	12_wt	1	1
388	OTU_538	12_cre	5_cre	1	1
389	OTU_538	12_cre	5_wt	0.5	1
390	OTU_538	12_cre	7_cre	NA	NA
391	OTU_538	12_cre	7_wt	0.5	1
392	OTU_538	12_cre	9_cre	NA	NA
393	OTU_538	12_cre	9_wt	1	1
394	OTU_538	12_wt	5_cre	0.1875	1
395	OTU_538	12_wt	5_wt	0.6875	1
396	OTU_538	12_wt	7_cre	NA	NA
397	OTU_538	12_wt	7_wt	0.625	1
398	OTU_538	12_wt	9_cre	NA	NA
399	OTU_538	12_wt	9_wt	0.8438	1
400	OTU_538	5_cre	5_wt	0.8125	1
401	OTU_538	5_cre	7_cre	NA	NA
402	OTU_538	5_cre	7_wt	0.125	1
403	OTU_538	5_cre	9_cre	NA	NA
404	OTU_538	5_cre	9_wt	0.4375	1
405	OTU_538	5_wt	7_cre	NA	NA
406	OTU_538	5_wt	7_wt	0.125	1
407	OTU_538	5_wt	9_cre	NA	NA
408	OTU_538	5_wt	9_wt	1	1
409	OTU_538	7_cre	7_wt	NA	NA
410	OTU_538	7_cre	9_cre	NA	NA
411	OTU_538	7_cre	9_wt	NA	NA
412	OTU_538	7_wt	9_cre	NA	NA
413	OTU_538	7_wt	9_wt	0.125	1
414	OTU_538	9_cre	9_wt	NA	NA
415	OTU_62	 -	- 	0	0
416	OTU_62	10_cre	10_wt	NA	NA
417	OTU_62	10_cre	12_cre	1	1
418	OTU_62	10_cre	12_wt	NA	NA
419	OTU_62	10_cre	5_cre	0.25	1
420	OTU_62	10_cre	5_wt	NA	NA
421	OTU_62	10_cre	7_cre	1	1
422	OTU_62	10_cre	7_wt	NA	NA
423	OTU_62	10_cre	9_cre	1	1
424	OTU_62	10_cre	9_wt	NA	NA
425	OTU_62	10_wt	12_cre	NA	NA
426	OTU_62	10_wt	12_wt	NA	NA
427	OTU_62	10_wt	5_cre	NA	NA
428	OTU_62	10_wt	5_wt	NA	NA
429	OTU_62	10_wt	7_cre	NA	NA
430	OTU_62	10_wt	7_wt	NA	NA
431	OTU_62	10_wt	9_cre	NA	NA
432	OTU_62	10_wt	9_wt	NA	NA
433	OTU_62	12_cre	12_wt	NA	NA
434	OTU_62	12_cre	5_cre	1	1
435	OTU_62	12_cre	5_wt	1	1
436	OTU_62	12_cre	7_cre	0.5	1
437	OTU_62	12_cre	7_wt	NA	NA
438	OTU_62	12_cre	9_cre	1	1
439	OTU_62	12_cre	9_wt	NA	NA
440	OTU_62	12_wt	5_cre	NA	NA
441	OTU_62	12_wt	5_wt	NA	NA
442	OTU_62	12_wt	7_cre	NA	NA
443	OTU_62	12_wt	7_wt	NA	NA
444	OTU_62	12_wt	9_cre	NA	NA
445	OTU_62	12_wt	9_wt	NA	NA
446	OTU_62	5_cre	5_wt	1	1
447	OTU_62	5_cre	7_cre	1	1
448	OTU_62	5_cre	7_wt	NA	NA
449	OTU_62	5_cre	9_cre	0.8125	1
450	OTU_62	5_cre	9_wt	NA	NA
451	OTU_62	5_wt	7_cre	1	1
