	measure	Group1	Group2	pvalue	corrected
264	OTU_4	5_wt	9_wt	1	1
265	OTU_4	7_cre	7_wt	0.2451	0.9121
266	OTU_4	7_cre	9_cre	1	1
267	OTU_4	7_cre	9_wt	0.7104	1
268	OTU_4	7_wt	9_cre	0.1281	0.8235
269	OTU_4	7_wt	9_wt	0.6817	1
270	OTU_4	9_cre	9_wt	0.4621	0.9902
271	OTU_2	10_cre	10_wt	0.1281	1
272	OTU_2	10_cre	12_cre	0.4621	1
273	OTU_2	10_cre	12_wt	0.7152	1
274	OTU_2	10_cre	5_cre	1	1
275	OTU_2	10_cre	5_wt	1	1
276	OTU_2	10_cre	7_cre	1	1
277	OTU_2	10_cre	7_wt	0.4621	1
278	OTU_2	10_cre	9_cre	1	1
279	OTU_2	10_cre	9_wt	1	1
280	OTU_2	10_wt	12_cre	0.6817	1
281	OTU_2	10_wt	12_wt	0.427	1
282	OTU_2	10_wt	5_cre	0.1281	1
283	OTU_2	10_wt	5_wt	0.2451	1
284	OTU_2	10_wt	7_cre	0.1281	1
285	OTU_2	10_wt	7_wt	0.6817	1
286	OTU_2	10_wt	9_cre	0.1281	1
287	OTU_2	10_wt	9_wt	0.2451	1
288	OTU_2	12_cre	12_wt	1	1
289	OTU_2	12_cre	5_cre	0.4621	1
290	OTU_2	12_cre	5_wt	0.7104	1
291	OTU_2	12_cre	7_cre	0.4621	1
292	OTU_2	12_cre	7_wt	1	1
293	OTU_2	12_cre	9_cre	0.4621	1
294	OTU_2	12_cre	9_wt	0.7104	1
295	OTU_2	12_wt	5_cre	0.7152	1
296	OTU_2	12_wt	5_wt	1	1
297	OTU_2	12_wt	7_cre	0.7152	1
298	OTU_2	12_wt	7_wt	1	1
299	OTU_2	12_wt	9_cre	0.7152	1
300	OTU_2	12_wt	9_wt	1	1
301	OTU_2	5_cre	5_wt	1	1
302	OTU_2	5_cre	7_cre	1	1
303	OTU_2	5_cre	7_wt	0.4621	1
304	OTU_2	5_cre	9_cre	1	1
305	OTU_2	5_cre	9_wt	1	1
306	OTU_2	5_wt	7_cre	1	1
307	OTU_2	5_wt	7_wt	0.7104	1
308	OTU_2	5_wt	9_cre	1	1
309	OTU_2	5_wt	9_wt	1	1
310	OTU_2	7_cre	7_wt	0.4621	1
311	OTU_2	7_cre	9_cre	1	1
312	OTU_2	7_cre	9_wt	1	1
313	OTU_2	7_wt	9_cre	0.4621	1
314	OTU_2	7_wt	9_wt	0.7104	1
315	OTU_2	9_cre	9_wt	1	1
316	OTU_41	10_cre	10_wt	0.6817	1
317	OTU_41	10_cre	12_cre	0.6817	1
318	OTU_41	10_cre	12_wt	1	1
319	OTU_41	10_cre	5_cre	1	1
320	OTU_41	10_cre	5_wt	1	1
321	OTU_41	10_cre	7_cre	1	1
322	OTU_41	10_cre	7_wt	1	1
323	OTU_41	10_cre	9_cre	1	1
324	OTU_41	10_cre	9_wt	1	1
325	OTU_41	10_wt	12_cre	1	1
326	OTU_41	10_wt	12_wt	0.6817	1
327	OTU_41	10_wt	5_cre	0.427	1
328	OTU_41	10_wt	5_wt	0.6817	1
329	OTU_41	10_wt	7_cre	0.427	1
330	OTU_41	10_wt	7_wt	0.6817	1
331	OTU_41	10_wt	9_cre	0.427	1
332	OTU_41	10_wt	9_wt	0.6817	1
333	OTU_41	12_cre	12_wt	0.6817	1
334	OTU_41	12_cre	5_cre	0.427	1
335	OTU_41	12_cre	5_wt	0.6817	1
336	OTU_41	12_cre	7_cre	0.427	1
337	OTU_41	12_cre	7_wt	0.6817	1
338	OTU_41	12_cre	9_cre	0.427	1
339	OTU_41	12_cre	9_wt	0.6817	1
340	OTU_41	12_wt	5_cre	1	1
341	OTU_41	12_wt	5_wt	1	1
342	OTU_41	12_wt	7_cre	1	1
343	OTU_41	12_wt	7_wt	1	1
344	OTU_41	12_wt	9_cre	1	1
345	OTU_41	12_wt	9_wt	1	1
346	OTU_41	5_cre	5_wt	1	1
347	OTU_41	5_cre	7_cre	1	1
348	OTU_41	5_cre	7_wt	1	1
349	OTU_41	5_cre	9_cre	1	1
350	OTU_41	5_cre	9_wt	1	1
351	OTU_41	5_wt	7_cre	1	1
352	OTU_41	5_wt	7_wt	1	1
353	OTU_41	5_wt	9_cre	1	1
354	OTU_41	5_wt	9_wt	1	1
355	OTU_41	7_cre	7_wt	1	1
356	OTU_41	7_cre	9_cre	1	1
357	OTU_41	7_cre	9_wt	1	1
358	OTU_41	7_wt	9_cre	1	1
359	OTU_41	7_wt	9_wt	1	1
360	OTU_41	9_cre	9_wt	1	1
361	OTU_31	10_cre	10_wt	0.0022	0.0165
362	OTU_31	10_cre	12_cre	0.4621	0.6584
363	OTU_31	10_cre	12_wt	0.0502	0.1189
364	OTU_31	10_cre	5_cre	0.7152	0.894
365	OTU_31	10_cre	5_wt	0.0022	0.0165
366	OTU_31	10_cre	7_cre	1	1
367	OTU_31	10_cre	7_wt	0.0502	0.1189
368	OTU_31	10_cre	9_cre	1	1
369	OTU_31	10_cre	9_wt	0.0022	0.0165
370	OTU_31	10_wt	12_cre	0.0421	0.1189
371	OTU_31	10_wt	12_wt	0.4828	0.6584
372	OTU_31	10_wt	5_cre	0.0169	0.0634
373	OTU_31	10_wt	5_wt	1	1
374	OTU_31	10_wt	7_cre	0.0063	0.0315
375	OTU_31	10_wt	7_wt	0.4828	0.6584
376	OTU_31	10_wt	9_cre	0.0022	0.0165
377	OTU_31	10_wt	9_wt	1	1
378	OTU_31	12_cre	12_wt	0.3898	0.6584
379	OTU_31	12_cre	5_cre	1	1
380	OTU_31	12_cre	5_wt	0.0421	0.1189
381	OTU_31	12_cre	7_cre	0.7104	0.894
382	OTU_31	12_cre	7_wt	0.3898	0.6584
383	OTU_31	12_cre	9_cre	0.4621	0.6584
384	OTU_31	12_cre	9_wt	0.0421	0.1189
385	OTU_31	12_wt	5_cre	0.2148	0.4203
386	OTU_31	12_wt	5_wt	0.4828	0.6584
387	OTU_31	12_wt	7_cre	0.1086	0.2327
388	OTU_31	12_wt	7_wt	1	1
389	OTU_31	12_wt	9_cre	0.0502	0.1189
390	OTU_31	12_wt	9_wt	0.4828	0.6584
391	OTU_31	5_cre	5_wt	0.0169	0.0634
392	OTU_31	5_cre	7_cre	1	1
393	OTU_31	5_cre	7_wt	0.2148	0.4203
394	OTU_31	5_cre	9_cre	0.7152	0.894
395	OTU_31	5_cre	9_wt	0.0169	0.0634
396	OTU_31	5_wt	7_cre	0.0063	0.0315
397	OTU_31	5_wt	7_wt	0.4828	0.6584
398	OTU_31	5_wt	9_cre	0.0022	0.0165
399	OTU_31	5_wt	9_wt	1	1
400	OTU_31	7_cre	7_wt	0.1086	0.2327
401	OTU_31	7_cre	9_cre	1	1
402	OTU_31	7_cre	9_wt	0.0063	0.0315
403	OTU_31	7_wt	9_cre	0.0502	0.1189
404	OTU_31	7_wt	9_wt	0.4828	0.6584
405	OTU_31	9_cre	9_wt	0.0022	0.0165
406	OTU_39	10_cre	10_wt	0.0063	0.0472
407	OTU_39	10_cre	12_cre	0.4497	0.7495
408	OTU_39	10_cre	12_wt	0.0352	0.099
409	OTU_39	10_cre	5_cre	1	1
410	OTU_39	10_cre	5_wt	0.0063	0.0472
411	OTU_39	10_cre	7_cre	1	1
412	OTU_39	10_cre	7_wt	0.0352	0.099
413	OTU_39	10_cre	9_cre	1	1
414	OTU_39	10_cre	9_wt	0.0063	0.0472
415	OTU_39	10_wt	12_cre	0.0996	0.1949
416	OTU_39	10_wt	12_wt	1	1
417	OTU_39	10_wt	5_cre	0.0169	0.0634
418	OTU_39	10_wt	5_wt	1	1
419	OTU_39	10_wt	7_cre	0.0169	0.0634
420	OTU_39	10_wt	7_wt	1	1
421	OTU_39	10_wt	9_cre	0.0063	0.0472
422	OTU_39	10_wt	9_wt	1	1
423	OTU_39	12_cre	12_wt	0.3295	0.5931
424	OTU_39	12_cre	5_cre	0.6999	1
